artist, city, state
Chicago, Chicago, IL
Crosby Stills Nash and Young, San Francisco, CA
Mark Knopfler, London, UK
Santana, San Francisco, CA
David Bowie, London, UK 
Grand Funk Railroad, Flint, MI 
Bob Dylan, Duluth, MN
Van Morrison, Belfast, XI 
Marvin Gaye, Washington, DC
Todd Rundgren, Philadelphia, PA
The Rolling Stones, London, UK
Pink Floyd, London, UK
Joni Mitchell, Fort Macleod, CA
Randy Newman, Los Angeles, CA
Fleetwood Mac, London, UK
Bruce Springsteen, Long Branch, NJ
Doobie Brothers, San Jose, CA
Barbra Streisand, Brooklyn, NY
Bread, Los Angeles, CA
Emerson Lake & Palmer, Croydon, UK
Andrew Lloyd Webber, South Kensington, UK
Supertramp, London, UK
Donna Summer, Boston, MA
Elvis Costello, London, UK
Linda Rondstadt, Tuscon, AZ
Journey, San Francisco, CA
Men at Work, Melbourne, AU
Talk Talk, London, UK
Miles Davis, Alton, IL
Tears for Fears, Bath, UK
Simple Minds, Glasgow, UK
Sting, Wallsend, UK
