albumRef, Track num, track title, length
4, 1, Da Le Yaleo, 5:51
4, 2, Love Of My Life, 5:48
4, 3, Put Your Lights On, 4:47
4, 4, Africa Bamba, 4:40
4, 5, Smooth, 4:56
4, 6, Do You Like the Way, 5:52
4, 7, Maria Maria, 4:21
4, 8, Migra, 5:24
4, 9, Corazon Espinado, 4:32
4, 10, Wishing It Was, 4:49
4, 11, El Farol, 4:49
4, 12, Primavera, 5:17
4, 13, The Calling, 7:48
1, 1, American Dream, 3:15
1, 2, Got It Made, 4:36
1, 3, Name of Love, 4:28
1, 4, Dont Say Goodbye, 4:23
1, 5, This Old House, 4:44
1, 6, Nighttime For The Generals, 4:20
1, 7, Shadowland, 4:33
1, 8, Drivin Thunder, 3:12
1, 9, Clear Blue Skies, 3:05
1, 10, That Girl, 3:27
1, 11, Compass, 5:19
1, 12, Soldiers Of Peace, 3:43
1, 13, Feel Your Love, 4:09
1, 14, Night Song, 4:17
3, 1, True Love Will Never Fade, 4:21
3, 2, The Scafolders Wife, 3:52
3, 3, The Fizzy and the Still, 4:07
3, 4, Heart Full of Holes, 6:36
3, 5, We Can Get Wild, 4:17
3, 6, Secondary Waltz, 3:43
3, 7, Punish the Monkey, 4:36
3, 8, Let it All Go, 5:17
3, 9, Behind With The Rent, 4:46
3, 10, The Fish and the Bird, 3:45
3, 11, Madame Genevas, 3:59
3, 12, In the Sky, 7:29
2, 1, If You Leave Me Now, 3:57
2, 2, Saturday In The Park, 3:55
2, 3, Feelin Stronger Everyday, 4:14
2, 4, (Ive Been) Searchin So Long, 4:29
2, 5, 25 or 6 to 4, 4:52
2, 6, "Baby, What A Big Surprise", 3:05
2, 7, Wishing You Were Here, 4:35
2, 8, No Tell Lover, 3:52
2, 9, Another Rainy Day In New Your City, 3:02
2, 10, Does Anybody Really Know What Time It Is?, 2:54
2, 11, Song For You, 3:41
5, 1, Space Oddity, 5:18
5, 2, Unwashed and Somewhat Slightly Dazed, 6:53
5, 3, Letter to Hermione, 2:37
5, 4, Cygnet Committee, 9:39
5, 5, Janine, 3:26
5, 6, An Occasional Dream, 3:01
5, 7, Wild Eyed Boy from Freecloud, 4:53
5, 8, God Knows I’m Good, 3:22
5, 9, Memory of a Free Festival, 7:11
6, 1, Are You Ready, 3:29
6, 2, "Anybody’s Answer", 5:18
6, 3, Time Machine, 3:45
6, 4, High on a Horse, 2:56
6, 5, TNUC, 8:43
6, 6, Into the Sun, 6:29
6, 7, Heartbreaker, 6:35
6, 8, Call Yourself a Man, 3:06
6, 9, "Can’t Be Too Long", 6:34
6, 10, Ups and Downs, 5:01
7, 1, Girl From the North Country, 3:44
7, 2, Nashville Skyline Rag, 3:14
7, 3, To Be Alone With You, 2:10
7, 4, I Threw It All Away, 2:26
7, 5, Peggy Day, 2:03
7, 6, Lay Lady Lay, 3:19
7, 7, One More Night, 2:25
7, 8, "Tell Me That It Isn’t True", 2:43
7, 9, Country Pie, 1:38
7, 10, "Tonight I’ll Be Staying Here With You", 3:23
8, 1, And It Stoned Me, 4:32
8, 2, Moondance, 4:34
8, 3, Crazy Love, 2:36
8, 4, Caravan, 5:02
8, 5, Into the Mystic, 3:28
8, 6, Come Running, 2:31
8, 7, These Dreams of You, 3:53
8, 8, Brand New Day, 5:11
8, 9, Everyone, 3:34
8, 10, Glad Tidings, 3:42
9, 1, "What’s Going On", 3:48
9, 2, "What’s Happening Brother", 2:44
9, 3, "Flyin’ High (in the Friendly Sky)", 3:49
9, 4, Save the Children, 4:03
9, 5, God is Love, 1:42
9, 6, Mercy Mercy Me (The Ecology), 3:03
9, 7, Right On, 7:15
9, 8, Wholy Holy, 3:08
9, 9, Inner City Blues (Make Me Wanna Holler), 5:46
10, 1, I Saw the Light, 2:56
10, 2, "It Wouldn’t Have Made Any Difference", 3:50
10, 3, Wolfman Jack, 2:54
10, 4, Cold Morning Light, 3:55
10, 5, It Takes Two to Tango, 2:41
10, 6, Sweeter Memories, 3:36
10, 7, Intro, 1:11
10, 8, Breathless, 3:15
10, 9, The Night the Carousel Burned Down, 4:29
10, 10, Saving Grace, 4:12
10, 11, Marlene, 3:54
10, 12, Song of the Viking, 2:36
10, 13, I Went to the Mirror, 4:06
10, 14, Black Maria, 5:20
10, 15, One More Day (No Word), 3:43
10, 16, "Couldn’t I Just Tell You", 3:35
10, 17, Torch Song, 2:53
10, 18, Little Red Lights, 4:51
10, 19, "Ouverture: Money/Messin’ with the Kid", 2:29
10, 20, Dust in the Wind, 3:49
10, 21, Piss Aaron, 3:17 
10, 22, "Hello It’s Me", 4:38
10, 23, Some Folks Is Even Whiter Than Me, 4:00
10, 24, You Left Me Sore, 3:14
10, 25, Slut, 3:35
11, 1, Rocks Off, 4:33
11, 2, Rip This Joint, 2:23
11, 3, Shake Your Hips, 3:00
11, 4, Casino Boogie, 3:35
11, 5, Tumbling Dice, 3:47
11, 6, Sweet Virginia, 4:26
11, 7, Torn and Frayed, 4:18
11, 8, Sweet Black Angel, 2:58
11, 9, Loving Cup, 4:26
11, 10, Happy, 3:05
11, 11, Turd on the Run, 2:38
11, 12, Ventilator Blues, 3:24
11, 13, I just Want to See His Face, 2:54
11, 14, Let It Loose, 5:19
11, 15, All Down the Line, 3:50
11, 16, Stop Breaking Down, 4:34
11, 17, Shine a Light, 4:14
11, 18, Soul Survivor, 3:49
12, 1, "Speak to Me/Breathe", 3:58
